Time,Open,High,Low,Close
2021-06-02 05:25:00,1.41367,1.41389,1.41346,1.41369
2021-06-02 05:30:00,1.41367,1.41385,1.41302,1.41326
2021-06-02 05:35:00,1.41325,1.41342,1.41291,1.41303
2021-06-02 05:40:00,1.41304,1.41424,1.413,1.41424
2021-06-02 05:45:00,1.41425,1.41449,1.41422,1.41432
2021-06-02 05:50:00,1.41431,1.41431,1.41399,1.41411
2021-06-02 05:55:00,1.41412,1.41431,1.41403,1.41431
2021-06-02 06:00:00,1.4143,1.41445,1.41403,1.41427
2021-06-02 06:05:00,1.41427,1.41455,1.41391,1.41452
2021-06-02 06:10:00,1.41452,1.4147,1.41441,1.41466
2021-06-02 06:15:00,1.41465,1.4147,1.41414,1.41425
2021-06-02 06:20:00,1.41426,1.41429,1.41379,1.41382
2021-06-02 06:25:00,1.41382,1.41388,1.41333,1.41334
2021-06-02 06:30:00,1.41331,1.41364,1.41309,1.41346
2021-06-02 06:35:00,1.41345,1.41385,1.41337,1.41369
2021-06-02 06:40:00,1.4137,1.41395,1.41352,1.41371
2021-06-02 06:45:00,1.4137,1.41381,1.41326,1.41326
2021-06-02 06:50:00,1.41325,1.41353,1.413,1.413
2021-06-02 06:55:00,1.413,1.41311,1.41219,1.41241
2021-06-02 07:00:00,1.41243,1.41253,1.41202,1.41234
2021-06-02 07:05:00,1.41233,1.41258,1.41217,1.41234
2021-06-02 07:10:00,1.41233,1.41271,1.41213,1.41237
2021-06-02 07:15:00,1.41238,1.41254,1.41115,1.41153
2021-06-02 07:20:00,1.41152,1.41215,1.41134,1.4121
2021-06-02 07:25:00,1.4121,1.41217,1.41169,1.41173
2021-06-02 07:30:00,1.41174,1.41243,1.41173,1.41234
2021-06-02 07:35:00,1.41229,1.41275,1.41224,1.41271
2021-06-02 07:40:00,1.41272,1.41336,1.4125,1.41309
2021-06-02 07:45:00,1.4131,1.41377,1.41309,1.41369
2021-06-02 07:50:00,1.41365,1.41395,1.41353,1.41363
2021-06-02 07:55:00,1.41363,1.41412,1.41352,1.41405
2021-06-02 08:00:00,1.41403,1.41454,1.41387,1.4144
2021-06-02 08:05:00,1.41438,1.41556,1.41423,1.41542
2021-06-02 08:10:00,1.41544,1.41568,1.41486,1.41487
2021-06-02 08:15:00,1.41485,1.4154,1.41479,1.4154
2021-06-02 08:20:00,1.41538,1.41561,1.41518,1.41526
2021-06-02 08:25:00,1.41525,1.41625,1.41501,1.41608
2021-06-02 08:30:00,1.41607,1.41664,1.41597,1.41629
2021-06-02 08:35:00,1.41633,1.41665,1.41608,1.41619
2021-06-02 08:40:00,1.41619,1.4165,1.41606,1.41619
2021-06-02 08:45:00,1.41625,1.41721,1.41625,1.41677
2021-06-02 08:50:00,1.41673,1.4169,1.41634,1.41689
2021-06-02 08:55:00,1.4169,1.41719,1.41639,1.4167
2021-06-02 09:00:00,1.41671,1.41691,1.41642,1.4165
2021-06-02 09:05:00,1.41656,1.41683,1.41642,1.41653
2021-06-02 09:10:00,1.41648,1.41648,1.41598,1.41598
2021-06-02 09:15:00,1.41598,1.41638,1.41586,1.41605
2021-06-02 09:20:00,1.41604,1.41608,1.41545,1.41558
2021-06-02 09:25:00,1.41558,1.41583,1.41554,1.41563
2021-06-02 09:30:00,1.41562,1.41626,1.41541,1.416
2021-06-02 09:35:00,1.41601,1.41627,1.41578,1.41602
2021-06-02 09:40:00,1.41603,1.4166,1.41595,1.41604
2021-06-02 09:45:00,1.41606,1.41664,1.41606,1.41659
